education,age,n_data,moment,data_value,data_se,denominator_note
udd3,72,6085,hours_0,0.7273623665,0.005708710556696206,Uses total age-cell frequency
udd3,73,5938,hours_0,0.7581677332,0.005556734866837326,Uses total age-cell frequency
udd3,74,5880,hours_0,0.7838435374,0.005367970744231724,Uses total age-cell frequency
udd3,75,5681,hours_0,0.803555712,0.005271270516252572,Uses total age-cell frequency
udd3,76,5187,hours_0,0.8266820898,0.0052557277723988,Uses total age-cell frequency
udd3,77,4611,hours_0,0.8440685318,0.0053426678794851155,Uses total age-cell frequency
udd3,78,4006,hours_0,0.856465302,0.005539593078944676,Uses total age-cell frequency
udd3,79,3348,hours_0,0.8703703704,0.005805123512840444,Uses total age-cell frequency
udd3,80,2785,hours_0,0.8944344704,0.005822677407687409,Uses total age-cell frequency
udd3,81,2244,hours_0,0.9188948307,0.0057629618615324,Uses total age-cell frequency
