education,age,_FREQ_,prob_work,hours_0,hours_1,hours_2,hours_3,hours_4,avg_wealth,work_work,nowork_nowork,avg_experience,avg_labor_income,avg_wage,avg_hours,var_wage,skew_wage,pens
udd2,70,8294,0.2442729684,0.7557270316,0.1122498191,0.0360501567,0.0268869062,0.0690860863,9.1999519737,0.2236488504,0.7130486712,32.266709719,2.8529981145,0.0032002845,906.02171767,4.6796532e-06,3.5326035816,
udd2,71,8097,0.2152649129,0.7847350871,0.1085587255,0.0351982216,0.0198839076,0.0516240583,9.922921792,0.1982627248,0.7424565681,31.87366694,2.6142708854,0.0032391112,824.44061962,5.0795105e-06,3.0738388097,
udd2,72,8065,0.1859888407,0.8140111593,0.1003099814,0.0277743335,0.0171109733,0.0407935524,10.207195714,0.1754413131,0.7765562094,31.309733073,2.4042042109,0.0031689101,783.16666667,5.0424541e-06,3.1817739319,
udd2,73,8060,0.1667493797,0.8332506203,0.0970223325,0.0244416873,0.0131513648,0.032133995,10.643671194,0.1558341071,0.8033116682,30.681368702,2.203343716,0.0032883875,724.06994048,6.5865531e-06,3.6321971942,
udd2,74,7998,0.1464116029,0.8535883971,0.0873968492,0.0216304076,0.0111277819,0.0262565641,12.982310523,0.1356378856,0.8246783444,30.113566131,2.0759068607,0.0031550792,699.57301452,5.7506332e-06,3.5187293842,
udd2,75,7923,0.1340401363,0.8659598637,0.0833017796,0.0196895115,0.0090874669,0.0219613783,13.435013163,0.119943995,0.8455196017,29.484027989,1.9062310441,0.003161297,664.97175141,6.2696496e-06,3.5113611921,
udd2,76,7366,0.1178387184,0.8821612816,0.0772468097,0.0172413793,0.0058376324,0.0175128971,14.762197009,0.1070853462,0.854589372,28.791234684,1.7557458091,0.0031407148,620.39170507,5.5246815e-06,3.3845119128,
udd2,77,6573,0.1058877225,0.8941122775,0.0736345656,0.0132359653,0.0044119884,0.0146052031,14.430230989,0.0958683599,0.8703273118,27.998984428,1.7219515098,0.0033104762,583.8362069,9.1602069e-06,4.1110411917,
udd2,78,5726,0.0962277331,0.9037722669,0.0693328676,0.0115263709,0.0043660496,0.011002445,15.200139418,0.089370485,0.8871001032,27.065732146,1.6791377456,0.003356466,546.18874773,9.7398755e-06,4.2173395546,
udd2,79,4695,0.0815761448,0.9184238552,0.058998935,0.0091586794,0.0042598509,0.0091586794,19.771623523,0.0740740741,0.9001716949,26.212675742,1.7419655211,0.0033886685,546.21409922,8.00289e-06,3.605090096,
udd2,80,3872,0.0779958678,0.9220041322,0.0570764463,0.007231405,0.0046487603,0.0090392562,22.662292252,0.0692189893,0.9081163859,25.212293388,1.9055210021,0.0034354063,550.16556291,8.8135669e-06,3.3739639911,
udd2,81,3178,0.0695405916,0.9304594084,0.0512901196,0.0066079295,0.0034612964,0.0081812461,23.232292621,0.0654381346,0.9153817225,24.588105727,1.6615630049,0.0033930459,543.89140271,8.5190209e-06,3.9776137971,
udd2,82,2067,0.0556361877,0.9443638123,0.0425737784,0.0053217223,0.0014513788,0.0062893082,23.876536996,0.0507069722,0.9288152121,24.253023706,1.4564299914,0.0033185959,511.73913043,5.0953817e-06,2.0332357281,
udd2,83,1296,0.0516975309,0.9483024691,0.0401234568,0.0038580247,0.0015432099,0.0061728395,23.628111937,0.046692607,0.9369649805,23.730709877,1.4539372601,0.0034956267,515.67164179,6.1091829e-06,1.6922976376,
udd2,84,578,0.0397923875,0.9602076125,0.0346020761,0.0017301038,0.0,0.0034602076,19.854070813,0.0348432056,0.9494773519,23.366782007,1.5047652962,0.0038625443,415.2173913,6.6938965e-06,1.3755641457,
udd3,30,1301,0.8455034589,0.1544965411,0.1037663336,0.0960799385,0.1029976941,0.5426594927,1.5676152882,,,,3.3217670392,0.0021440181,1493.7272727,4.3236951e-07,0.810510167,
udd3,31,2482,0.8255439162,0.1744560838,0.0882352941,0.0898468977,0.1019339243,0.5455278002,1.3177036221,0.7730426165,0.1496531219,,3.5319748214,0.0022570773,1524.4021474,5.6661242e-07,0.9774567725,
udd3,32,3552,0.8119369369,0.1880630631,0.0703828829,0.0836148649,0.0951576577,0.5627815315,1.4281733652,0.7603015075,0.1527638191,,3.8396397379,0.0023801908,1568.2212205,7.2125807e-07,1.1202479258,
udd3,33,4342,0.8090741594,0.1909258406,0.0670198065,0.070935053,0.0833717181,0.5877475818,1.5974270306,0.7612809316,0.1626637555,,4.0212734605,0.0024497432,1600.6689439,7.823646e-07,1.1515114441,
udd3,34,4950,0.8107070707,0.1892929293,0.0602020202,0.0713131313,0.0802020202,0.598989899,1.8539468236,0.7610698366,0.1607726597,,4.2409407572,0.002566775,1616.9573885,8.9942815e-07,1.1839782707,
udd3,35,5483,0.8099580522,0.1900419478,0.0563560095,0.0744118183,0.0793361299,0.5998540945,1.9848578986,0.7730769231,0.1646153846,5.8789808917,4.3718706143,0.0026353387,1620.7723486,9.6912942e-07,1.1464674416,
udd3,36,8619,0.8586843021,0.1413156979,0.0474533008,0.0542986425,0.072862281,0.6840700777,2.6318275247,0.8029966704,0.1331853496,7.8098495212,5.1346373507,0.0029849474,1685.1844345,1.4242488e-06,1.3280964397,
udd3,37,11739,0.882272766,0.117727234,0.0396115512,0.049152398,0.0695970696,0.7239117472,4.6863624885,0.8488330341,0.1036505087,8.6926234766,5.6402172677,0.0032278086,1714.5215796,1.7525716e-06,1.3827581221,
